Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7126,0.6919,0.5033,0.5219,0.5047,0.5326,0.5033,0.5288,0.5045,0.4571,0.5057,0.4025,0.5037,0.5276,0.5038,0.5279
2,0.6916,0.6883,0.5235,0.5353,0.5335,0.5627,0.5227,0.5498,0.5316,0.4557,0.5409,0.389,0.526,0.549,0.5261,0.5492
3,0.6882,0.6816,0.5368,0.5541,0.555,0.5915,0.5349,0.5748,0.5491,0.4826,0.5641,0.4159,0.5417,0.5745,0.5418,0.5747
4,0.6788,0.6669,0.5633,0.5968,0.5904,0.6311,0.5581,0.5959,0.5822,0.5987,0.6086,0.6015,0.5704,0.6011,0.5704,0.6013
5,0.6708,0.6767,0.5835,0.5566,0.6158,0.6392,0.5768,0.6465,0.6009,0.3605,0.6272,0.2499,0.593,0.6106,0.5931,0.6109
6,0.661,0.6529,0.6012,0.6152,0.6412,0.6859,0.5944,0.6796,0.615,0.531,0.6371,0.4358,0.6141,0.6529,0.6142,0.6531
7,0.6481,0.6484,0.6191,0.6212,0.6671,0.7037,0.611,0.7027,0.6326,0.526,0.6559,0.4203,0.6407,0.6761,0.6408,0.6762
8,0.6311,0.6231,0.6445,0.6567,0.6971,0.7218,0.636,0.6869,0.6552,0.6265,0.6755,0.5759,0.6701,0.6956,0.6701,0.6957
9,0.6167,0.5873,0.6614,0.6922,0.7185,0.7652,0.6523,0.7251,0.6713,0.6679,0.6915,0.6191,0.6907,0.7337,0.6908,0.7338
10,0.6013,0.5699,0.6752,0.7116,0.7371,0.7766,0.6639,0.704,0.686,0.7169,0.7095,0.7302,0.7086,0.7441,0.7086,0.7442
11,0.5764,0.5582,0.6996,0.7195,0.7659,0.792,0.687,0.743,0.7094,0.7053,0.7334,0.6711,0.737,0.7604,0.737,0.7605
12,0.561,0.5491,0.7139,0.7246,0.782,0.8021,0.6999,0.7498,0.7235,0.71,0.7487,0.6742,0.751,0.7716,0.751,0.7717
13,0.5515,0.5351,0.7215,0.7285,0.7909,0.8129,0.7065,0.6828,0.7313,0.7586,0.758,0.8534,0.7598,0.7835,0.7598,0.7836
14,0.5368,0.5031,0.7336,0.7567,0.804,0.8316,0.7157,0.7364,0.7442,0.7667,0.775,0.7996,0.7712,0.8013,0.7713,0.8014
15,0.5206,0.5705,0.7442,0.7139,0.8172,0.8306,0.7258,0.6469,0.7543,0.767,0.7851,0.942,0.7854,0.8054,0.7855,0.8055
16,0.5215,0.4904,0.7414,0.7591,0.8152,0.8431,0.7218,0.7123,0.7524,0.783,0.7856,0.8693,0.7825,0.8132,0.7825,0.8133
17,0.5068,0.475,0.7547,0.7726,0.828,0.8493,0.7332,0.7518,0.7655,0.7817,0.8008,0.814,0.7957,0.818,0.7958,0.8181
18,0.5011,0.5069,0.7575,0.7542,0.8318,0.8458,0.7357,0.6927,0.7682,0.7881,0.8037,0.914,0.7995,0.8104,0.7996,0.8104
19,0.5035,0.4733,0.7565,0.7779,0.8305,0.8509,0.7351,0.7475,0.7672,0.7908,0.8022,0.8393,0.7989,0.8192,0.7989,0.8193
20,0.49,0.4863,0.7652,0.7687,0.84,0.8493,0.7424,0.7173,0.7758,0.7931,0.8122,0.8869,0.8067,0.8167,0.8067,0.8167
21,0.4987,0.4779,0.759,0.7731,0.8334,0.8547,0.7365,0.7238,0.7699,0.7956,0.8064,0.8832,0.8006,0.8227,0.8007,0.8228
22,0.4898,0.4615,0.765,0.7801,0.8394,0.8599,0.7415,0.7764,0.7759,0.7816,0.8136,0.7869,0.807,0.827,0.807,0.827
23,0.478,0.4587,0.772,0.7849,0.8478,0.8617,0.7481,0.7801,0.7824,0.7867,0.8199,0.7935,0.8159,0.8304,0.8159,0.8305
24,0.4842,0.4856,0.768,0.7663,0.8434,0.8537,0.7433,0.7094,0.7792,0.7942,0.8187,0.9019,0.8092,0.8205,0.8093,0.8205
25,0.4903,0.4677,0.7659,0.7765,0.8394,0.8585,0.7417,0.7763,0.7771,0.7766,0.816,0.7769,0.8062,0.8271,0.8062,0.8271
26,0.4759,0.4599,0.7745,0.7843,0.8492,0.8595,0.7498,0.7651,0.7851,0.7919,0.824,0.8206,0.8157,0.8297,0.8157,0.8298
27,0.4774,0.4457,0.7748,0.7967,0.8489,0.8678,0.75,0.7766,0.7854,0.8038,0.8244,0.8329,0.8162,0.8357,0.8162,0.8357
28,0.4721,0.4592,0.7757,0.7798,0.8514,0.8651,0.7501,0.7229,0.7866,0.8047,0.8268,0.9074,0.818,0.8352,0.818,0.8353
29,0.4694,0.4494,0.7772,0.7897,0.853,0.8678,0.7511,0.7815,0.7883,0.7927,0.8293,0.8043,0.8215,0.8368,0.8215,0.8369
30,0.4675,0.4554,0.7792,0.7887,0.855,0.8661,0.7531,0.7912,0.79,0.7878,0.8306,0.7844,0.8242,0.8364,0.8242,0.8365
31,0.4661,0.4596,0.7804,0.7849,0.8552,0.87,0.7555,0.8061,0.7907,0.7772,0.8293,0.7503,0.8231,0.8423,0.8231,0.8423
32,0.4647,0.4555,0.7798,0.7841,0.856,0.8709,0.7547,0.7264,0.7901,0.8085,0.8291,0.9116,0.8243,0.8403,0.8243,0.8404
33,0.4662,0.4523,0.78,0.7926,0.8557,0.866,0.7541,0.7795,0.7907,0.7973,0.831,0.816,0.824,0.8377,0.824,0.8378
34,0.466,0.4465,0.7795,0.7911,0.8551,0.8689,0.7524,0.7544,0.7907,0.8051,0.8331,0.8631,0.8241,0.8387,0.8241,0.8388
35,0.4648,0.4632,0.7825,0.7809,0.8566,0.8609,0.7556,0.7825,0.7934,0.7803,0.8352,0.778,0.824,0.8313,0.824,0.8314
36,0.4598,0.4407,0.7838,0.8017,0.8593,0.8725,0.7576,0.784,0.7943,0.8077,0.8348,0.8329,0.8268,0.8433,0.8269,0.8433
37,0.4555,0.437,0.7866,0.795,0.8619,0.8722,0.7586,0.7733,0.7976,0.8028,0.8408,0.8347,0.8307,0.8416,0.8308,0.8417
38,0.4636,0.461,0.7814,0.7803,0.8571,0.8612,0.7547,0.7315,0.7922,0.8012,0.8337,0.8856,0.8262,0.8266,0.8263,0.8267
39,0.4621,0.4405,0.7835,0.7949,0.8577,0.8714,0.7558,0.7774,0.7947,0.8012,0.8378,0.8265,0.8269,0.8402,0.8269,0.8404
40,0.4573,0.4348,0.785,0.798,0.8609,0.874,0.7579,0.7609,0.7958,0.8114,0.8376,0.8691,0.8306,0.8423,0.8306,0.8424
41,0.4523,0.4384,0.7875,0.796,0.8641,0.8742,0.7602,0.7903,0.798,0.798,0.8398,0.8058,0.8336,0.8443,0.8336,0.8444
42,0.4516,0.431,0.7879,0.8,0.8647,0.8762,0.7604,0.7665,0.7986,0.8118,0.8407,0.8627,0.8336,0.8457,0.8336,0.8459
43,0.4494,0.4372,0.7913,0.7982,0.8662,0.8732,0.7644,0.7733,0.8013,0.807,0.842,0.8437,0.836,0.8439,0.836,0.844
44,0.4514,0.4446,0.7887,0.7939,0.8643,0.8726,0.7612,0.7453,0.7993,0.8125,0.8415,0.8931,0.8328,0.8406,0.8328,0.8407
45,0.4492,0.4611,0.7904,0.7832,0.8665,0.8684,0.7627,0.7238,0.8008,0.8086,0.843,0.916,0.8349,0.8359,0.835,0.836
46,0.4563,0.436,0.7859,0.7999,0.8615,0.875,0.758,0.7548,0.7969,0.8161,0.8401,0.8883,0.8309,0.8431,0.831,0.8432
47,0.4484,0.4326,0.7916,0.8035,0.8672,0.8796,0.7638,0.8053,0.802,0.8029,0.8442,0.8005,0.837,0.8509,0.837,0.8509
48,0.447,0.4302,0.7899,0.8011,0.8668,0.8773,0.7628,0.7666,0.8002,0.8132,0.8414,0.8658,0.837,0.8501,0.837,0.8503
49,0.4468,0.4271,0.7915,0.8019,0.8674,0.8779,0.7641,0.7752,0.8018,0.811,0.8435,0.8503,0.8375,0.8484,0.8375,0.8485
50,0.4494,0.432,0.7891,0.7987,0.8658,0.877,0.762,0.7691,0.7994,0.8092,0.8407,0.8536,0.8361,0.8487,0.8361,0.8488
51,0.4418,0.4243,0.7938,0.8041,0.8704,0.8792,0.7671,0.7727,0.8036,0.8147,0.8437,0.8616,0.8399,0.8497,0.8399,0.8497
52,0.4403,0.4316,0.7952,0.8021,0.8712,0.8779,0.7677,0.7907,0.8051,0.8059,0.8464,0.8217,0.843,0.8516,0.843,0.8516
53,0.4408,0.4293,0.7942,0.7989,0.8707,0.8781,0.767,0.7556,0.8042,0.8146,0.8451,0.8836,0.8412,0.8492,0.8412,0.8493
54,0.4451,0.4807,0.7932,0.77,0.8682,0.8708,0.7644,0.7008,0.8039,0.8038,0.8477,0.9425,0.8363,0.8401,0.8363,0.8402
55,0.4515,0.4361,0.7872,0.7998,0.8644,0.8773,0.7597,0.7536,0.7979,0.8164,0.8403,0.8907,0.8358,0.8476,0.8358,0.8477
56,0.4402,0.4382,0.795,0.7969,0.8717,0.8738,0.7681,0.7572,0.8049,0.8115,0.8453,0.8741,0.8427,0.8418,0.8427,0.8419
57,0.4428,0.4257,0.7937,0.803,0.8693,0.879,0.7653,0.7771,0.8041,0.8117,0.847,0.8497,0.8396,0.8488,0.8396,0.8489
58,0.437,0.432,0.7967,0.8021,0.8733,0.8826,0.7698,0.8061,0.8064,0.8008,0.8465,0.7955,0.8443,0.8537,0.8443,0.8538
