Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7125,0.6916,0.5024,0.5195,0.5045,0.5355,0.5024,0.5407,0.5064,0.3502,0.5106,0.259,0.5026,0.5292,0.5026,0.5295
2,0.6913,0.6866,0.5241,0.5461,0.5334,0.5634,0.5234,0.5427,0.5306,0.5632,0.5379,0.5854,0.5258,0.5503,0.5258,0.5505
3,0.6826,0.6729,0.5539,0.5824,0.5777,0.615,0.5487,0.5677,0.5766,0.6235,0.6075,0.6914,0.5583,0.5882,0.5583,0.5885
4,0.6709,0.6621,0.582,0.5974,0.6147,0.6413,0.573,0.6048,0.6061,0.5828,0.6433,0.5623,0.5899,0.6155,0.59,0.6156
5,0.6599,0.6606,0.6011,0.6027,0.6425,0.6906,0.5927,0.5636,0.6184,0.6962,0.6464,0.9103,0.6184,0.6582,0.6184,0.6583
6,0.6465,0.6409,0.6227,0.621,0.67,0.7082,0.6135,0.6985,0.6374,0.5291,0.6632,0.4258,0.6428,0.6783,0.6429,0.6784
7,0.628,0.606,0.6493,0.6693,0.7008,0.7342,0.6386,0.6397,0.6624,0.7009,0.688,0.7752,0.67,0.7012,0.67,0.7014
8,0.6099,0.5876,0.6672,0.6899,0.7261,0.773,0.656,0.7479,0.6788,0.6488,0.7032,0.5728,0.6973,0.7403,0.6973,0.7404
9,0.5904,0.5622,0.6875,0.713,0.7508,0.7845,0.6742,0.6769,0.6989,0.7396,0.7254,0.8151,0.7198,0.7544,0.7198,0.7545
10,0.5747,0.5382,0.7012,0.7344,0.7676,0.8076,0.6877,0.7434,0.7116,0.7294,0.7372,0.7159,0.7374,0.7815,0.7375,0.7815
11,0.5568,0.5356,0.7167,0.7367,0.7856,0.8226,0.7002,0.6802,0.7279,0.7724,0.7579,0.8935,0.7536,0.7875,0.7536,0.7876
12,0.5438,0.5158,0.7258,0.7466,0.7969,0.8218,0.7078,0.7126,0.7372,0.7654,0.7692,0.8268,0.7641,0.7876,0.7641,0.7878
13,0.5376,0.4999,0.731,0.7625,0.8027,0.8364,0.713,0.7384,0.7419,0.7739,0.7733,0.8131,0.7691,0.8029,0.7691,0.803
14,0.5257,0.497,0.7392,0.7641,0.812,0.8432,0.7196,0.713,0.7504,0.7893,0.7839,0.8838,0.7809,0.8065,0.781,0.8066
15,0.5152,0.4802,0.7467,0.7737,0.8207,0.8541,0.7265,0.7899,0.7575,0.7673,0.7913,0.7459,0.7895,0.822,0.7896,0.8222
16,0.5084,0.4914,0.7521,0.768,0.8266,0.8444,0.7318,0.7756,0.7626,0.7648,0.796,0.7542,0.7959,0.8126,0.7959,0.8127
17,0.5085,0.5106,0.7518,0.7492,0.8261,0.8459,0.7305,0.6861,0.7628,0.7855,0.7981,0.9187,0.7947,0.8127,0.7948,0.8128
