Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.7083,0.6925,0.5074,0.5147,0.5083,0.5382,0.5074,0.5081,0.5074,0.6557,0.5075,0.9242,0.5051,0.5275,0.5052,0.5277
2,0.6901,0.687,0.5294,0.5442,0.5447,0.5805,0.5279,0.5271,0.5412,0.6538,0.5552,0.8607,0.5343,0.5658,0.5343,0.5659
3,0.6803,0.6684,0.5615,0.5872,0.5874,0.6256,0.5565,0.5735,0.5801,0.6223,0.6059,0.6802,0.5683,0.6084,0.5683,0.6086
4,0.6697,0.669,0.5851,0.5839,0.6189,0.6477,0.5771,0.5541,0.6056,0.6737,0.637,0.8592,0.5957,0.6231,0.5958,0.6233
5,0.6543,0.6934,0.6117,0.5786,0.6539,0.6803,0.6018,0.5467,0.6297,0.686,0.6602,0.9207,0.6254,0.659,0.6255,0.6592
6,0.6442,0.6572,0.6269,0.6039,0.6744,0.7048,0.617,0.7125,0.6421,0.468,0.6694,0.3485,0.6458,0.6765,0.6459,0.6767
7,0.6303,0.609,0.6457,0.6687,0.6969,0.7322,0.6356,0.6736,0.6584,0.664,0.6829,0.6546,0.667,0.7089,0.667,0.7091
8,0.6124,0.5888,0.666,0.6899,0.7229,0.7526,0.6545,0.6787,0.6779,0.6993,0.703,0.7212,0.6937,0.7216,0.6937,0.7218
9,0.5971,0.6264,0.6816,0.6623,0.7431,0.7763,0.669,0.6073,0.6931,0.7312,0.719,0.9184,0.7124,0.7468,0.7124,0.747
10,0.5828,0.5781,0.6937,0.6929,0.7589,0.7906,0.6799,0.6396,0.705,0.742,0.732,0.8834,0.7295,0.7612,0.7295,0.7614
11,0.569,0.5464,0.7063,0.7226,0.7734,0.7968,0.6907,0.6982,0.7178,0.7387,0.7471,0.7842,0.7439,0.7701,0.7439,0.7702
12,0.56,0.5189,0.7135,0.748,0.7821,0.8207,0.6977,0.727,0.7245,0.7591,0.7534,0.7941,0.753,0.7892,0.753,0.7894
13,0.5427,0.5286,0.7255,0.7377,0.7978,0.8287,0.7078,0.7854,0.7367,0.7138,0.7681,0.6542,0.7676,0.7989,0.7676,0.799
14,0.5323,0.4952,0.7368,0.7584,0.8073,0.8423,0.7189,0.7096,0.7472,0.7836,0.7779,0.8748,0.7752,0.8093,0.7752,0.8094
15,0.5221,0.4883,0.7403,0.7657,0.8152,0.843,0.7222,0.736,0.7505,0.7796,0.7811,0.8285,0.7843,0.8107,0.7844,0.8108
16,0.5156,0.5025,0.7473,0.7598,0.8205,0.8356,0.727,0.7679,0.7581,0.756,0.7921,0.7445,0.7875,0.8058,0.7875,0.8059
17,0.5115,0.5197,0.7502,0.7448,0.8237,0.8496,0.7306,0.6786,0.7604,0.7846,0.7927,0.9299,0.7936,0.817,0.7936,0.8171
18,0.5066,0.4717,0.7545,0.7733,0.8277,0.8527,0.7327,0.7478,0.7654,0.7844,0.8012,0.8248,0.7964,0.8195,0.7964,0.8196
19,0.5039,0.4753,0.7556,0.7724,0.8293,0.8587,0.735,0.7182,0.7659,0.7976,0.7995,0.8966,0.7963,0.8235,0.7963,0.8236
20,0.4924,0.4849,0.7623,0.7711,0.8376,0.8499,0.7409,0.7882,0.7724,0.7641,0.8067,0.7415,0.8049,0.8158,0.8049,0.8159
21,0.5013,0.477,0.7573,0.775,0.831,0.8591,0.736,0.7196,0.7678,0.8002,0.8026,0.901,0.7993,0.8216,0.7993,0.8219
22,0.4858,0.5068,0.7664,0.754,0.8426,0.8474,0.7435,0.6915,0.777,0.7886,0.8136,0.9173,0.8125,0.8125,0.8125,0.8126
23,0.4983,0.4751,0.7594,0.7789,0.8334,0.8554,0.7372,0.7861,0.7702,0.7761,0.8062,0.7664,0.8025,0.8226,0.8025,0.8227
24,0.5032,0.4631,0.7558,0.7839,0.8305,0.8682,0.7347,0.8155,0.7664,0.7725,0.8009,0.7337,0.8012,0.8351,0.8013,0.8351
25,0.4816,0.4581,0.77,0.7861,0.845,0.8604,0.7469,0.7579,0.7803,0.7972,0.8168,0.8406,0.8134,0.8247,0.8135,0.8247
26,0.4789,0.4544,0.7738,0.7929,0.8478,0.8633,0.7509,0.7716,0.7837,0.8008,0.8195,0.8323,0.8174,0.8265,0.8174,0.8266
27,0.4799,0.4541,0.7705,0.7849,0.8462,0.8666,0.7465,0.7381,0.7811,0.8041,0.8191,0.8832,0.8161,0.8309,0.8161,0.831
28,0.4775,0.4667,0.7725,0.779,0.8484,0.8585,0.7484,0.7361,0.783,0.7975,0.821,0.87,0.8178,0.8243,0.8178,0.8244
29,0.4827,0.4455,0.7686,0.7962,0.8444,0.8687,0.7451,0.7827,0.7791,0.801,0.8164,0.8201,0.8155,0.8308,0.8155,0.8308
30,0.4678,0.4476,0.781,0.7922,0.8546,0.8682,0.7567,0.7872,0.7908,0.7939,0.8281,0.8007,0.8234,0.8336,0.8234,0.8337
31,0.4684,0.4462,0.7776,0.7984,0.854,0.8709,0.7529,0.7968,0.788,0.799,0.8265,0.8012,0.8223,0.8329,0.8223,0.833
32,0.4675,0.445,0.7788,0.7944,0.8546,0.8686,0.7539,0.7641,0.7891,0.8055,0.8278,0.8517,0.8241,0.8338,0.8241,0.8338
33,0.4649,0.458,0.7815,0.7902,0.8561,0.8691,0.7567,0.8054,0.7916,0.7848,0.8299,0.7653,0.8256,0.8348,0.8257,0.8348
34,0.4665,0.4432,0.7791,0.7972,0.8548,0.8695,0.7532,0.7848,0.7899,0.8016,0.8304,0.819,0.8246,0.8343,0.8246,0.8344
35,0.4674,0.4464,0.779,0.7913,0.8547,0.8691,0.7539,0.7485,0.7895,0.8078,0.8286,0.8772,0.8259,0.8355,0.8259,0.8356
36,0.4613,0.4427,0.7816,0.7993,0.8579,0.8713,0.7561,0.7521,0.792,0.8165,0.8314,0.8929,0.8269,0.8311,0.8269,0.8311
37,0.4614,0.4631,0.7817,0.7819,0.8584,0.8731,0.7545,0.7198,0.7927,0.8089,0.835,0.9231,0.8283,0.8357,0.8283,0.8358
38,0.4628,0.4408,0.7823,0.801,0.8574,0.8729,0.7553,0.7854,0.7932,0.8063,0.835,0.8283,0.8283,0.8383,0.8283,0.8384
39,0.4594,0.4625,0.7838,0.7825,0.8596,0.873,0.7575,0.8192,0.7943,0.7692,0.8349,0.7249,0.8297,0.8392,0.8297,0.8393
40,0.4579,0.4391,0.7856,0.797,0.8605,0.8755,0.7596,0.803,0.7958,0.795,0.8356,0.7871,0.8292,0.8412,0.8293,0.8413
41,0.4571,0.4581,0.7847,0.785,0.861,0.8717,0.7587,0.7249,0.795,0.8103,0.835,0.9184,0.8315,0.8366,0.8315,0.8367
42,0.4597,0.4493,0.7836,0.7929,0.859,0.872,0.7567,0.8036,0.7944,0.7892,0.8362,0.7754,0.827,0.8382,0.827,0.8382
43,0.4598,0.4424,0.7825,0.7955,0.859,0.8735,0.7562,0.7541,0.7931,0.8108,0.8339,0.8768,0.829,0.8383,0.829,0.8384
44,0.4539,0.4357,0.7865,0.7981,0.8626,0.875,0.7599,0.7843,0.7968,0.8029,0.8376,0.8223,0.8326,0.8398,0.8326,0.8399
45,0.4529,0.4363,0.7867,0.8016,0.8635,0.8746,0.76,0.7889,0.7971,0.8059,0.838,0.8237,0.8341,0.8404,0.8341,0.8404
46,0.4532,0.4296,0.7875,0.807,0.8635,0.8784,0.7608,0.7869,0.7978,0.8136,0.8386,0.8422,0.8334,0.8422,0.8334,0.8423
47,0.4522,0.4403,0.7875,0.7946,0.8636,0.8732,0.7612,0.7468,0.7977,0.8127,0.8379,0.8913,0.8334,0.8389,0.8334,0.8389
48,0.4595,0.4509,0.784,0.7924,0.8597,0.8743,0.7571,0.7392,0.7947,0.8131,0.8363,0.9035,0.83,0.8377,0.83,0.8378
49,0.4519,0.4437,0.7875,0.7936,0.8639,0.87,0.7599,0.7817,0.7983,0.7978,0.8407,0.8146,0.8348,0.8365,0.8348,0.8365
50,0.4485,0.4572,0.7899,0.7803,0.8664,0.8688,0.7631,0.7235,0.8,0.805,0.8407,0.9072,0.8382,0.8365,0.8382,0.8366
51,0.4517,0.4407,0.7862,0.7953,0.8639,0.8745,0.7578,0.7465,0.7974,0.8138,0.8413,0.8944,0.8355,0.8386,0.8355,0.8386
52,0.4474,0.4315,0.7899,0.8028,0.8661,0.8783,0.7613,0.7936,0.8008,0.8059,0.8447,0.8186,0.8364,0.8402,0.8364,0.8403
53,0.444,0.4293,0.793,0.803,0.8689,0.8786,0.7649,0.7546,0.8034,0.82,0.8461,0.898,0.8385,0.8426,0.8385,0.8427
