Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.6897,0.6685,0.5446,0.5774,0.5652,0.615,0.5403,0.5572,0.5677,0.641,0.598,0.7546,0.5464,0.5896,0.5464,0.5897
2,0.658,0.6408,0.5995,0.6324,0.638,0.677,0.5836,0.614,0.6343,0.6598,0.6947,0.713,0.6077,0.6425,0.6077,0.6426
3,0.6376,0.6258,0.6269,0.6468,0.6761,0.6993,0.6092,0.6132,0.655,0.6924,0.7082,0.7952,0.6453,0.6667,0.6453,0.6667
4,0.6229,0.6036,0.6468,0.666,0.7001,0.725,0.6266,0.6373,0.673,0.6976,0.7267,0.7706,0.6684,0.6937,0.6684,0.6937
5,0.6091,0.5914,0.6603,0.6774,0.7193,0.7418,0.6398,0.6393,0.6835,0.7162,0.7335,0.8143,0.6879,0.7109,0.6879,0.7109
6,0.597,0.5693,0.6731,0.7001,0.7352,0.7661,0.6511,0.6727,0.6952,0.7221,0.7457,0.7795,0.7034,0.7353,0.7034,0.7353
7,0.5837,0.5621,0.6862,0.7043,0.7507,0.7756,0.6636,0.666,0.7065,0.7349,0.7553,0.8197,0.7206,0.7479,0.7206,0.748
8,0.5709,0.5414,0.6979,0.7197,0.7654,0.7937,0.6752,0.6967,0.7162,0.7352,0.7625,0.7783,0.7347,0.7648,0.7347,0.7648
9,0.5591,0.5383,0.7084,0.7216,0.7777,0.7969,0.6851,0.6845,0.7256,0.747,0.7712,0.8221,0.7474,0.7692,0.7474,0.7693
10,0.548,0.5193,0.7171,0.7385,0.7888,0.8148,0.6928,0.703,0.7338,0.7595,0.7799,0.8259,0.7595,0.7853,0.7595,0.7853
11,0.5357,0.5077,0.7285,0.751,0.8001,0.8257,0.7035,0.7099,0.7441,0.7732,0.7897,0.8489,0.7705,0.7965,0.7705,0.7965
12,0.5253,0.4944,0.7357,0.7564,0.8098,0.8346,0.7109,0.7222,0.7503,0.7737,0.7945,0.8331,0.7809,0.8094,0.7809,0.8094
