Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
1,0.6981,0.6729,0.5419,0.5721,0.5596,0.6062,0.5386,0.5595,0.5609,0.6131,0.585,0.6779,0.5421,0.5828,0.5421,0.5829
2,0.6665,0.6536,0.5839,0.6008,0.6183,0.6471,0.5701,0.5945,0.6209,0.6138,0.6816,0.6344,0.59,0.6183,0.59,0.6184
3,0.6478,0.6295,0.6127,0.6392,0.6575,0.688,0.5959,0.6228,0.6439,0.6619,0.7003,0.7063,0.6279,0.6574,0.628,0.6575
4,0.6333,0.6228,0.6318,0.6488,0.682,0.7048,0.6131,0.6448,0.6598,0.6537,0.7143,0.6628,0.6513,0.6731,0.6513,0.6731
5,0.6205,0.6024,0.6478,0.667,0.7031,0.7302,0.6282,0.6547,0.6727,0.6797,0.7239,0.7066,0.6728,0.6997,0.6728,0.6998
6,0.6063,0.6012,0.6636,0.6687,0.7228,0.7366,0.6431,0.681,0.686,0.6571,0.735,0.6349,0.6916,0.7032,0.6917,0.7033
7,0.5916,0.5704,0.6781,0.7019,0.741,0.767,0.6573,0.6714,0.6981,0.7263,0.7443,0.791,0.7103,0.7356,0.7103,0.7356
8,0.5762,0.5535,0.6918,0.7145,0.7584,0.7844,0.6701,0.6983,0.7103,0.7257,0.7557,0.7552,0.7288,0.7551,0.7288,0.7551
9,0.5627,0.5481,0.7031,0.7195,0.7735,0.7929,0.6806,0.6803,0.7205,0.747,0.7654,0.8281,0.745,0.7645,0.745,0.7645
10,0.5495,0.5282,0.7168,0.7379,0.7873,0.8104,0.6934,0.703,0.7329,0.7586,0.777,0.8238,0.7568,0.7793,0.7568,0.7793
11,0.5368,0.5152,0.7261,0.7456,0.7988,0.8196,0.7021,0.7219,0.7415,0.7585,0.7856,0.799,0.7696,0.7912,0.7696,0.7912
